epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
81,0.179403,0.9303,0.8976,0.8633,0.8971,5e-05,2
82,0.178708,0.9330,0.9158,0.8789,0.9092,5e-05,3
83,0.170083,0.9320,0.9057,0.8733,0.9037,5e-05,4
84,0.165232,0.9343,0.9087,0.8778,0.9070,5e-05,5
85,0.164700,0.9341,0.9044,0.8702,0.9029,5e-05,6
86,0.164894,0.9327,0.9103,0.8767,0.9065,5e-05,7
87,0.174696,0.9286,0.9091,0.8729,0.9035,5e-05,8
88,0.167168,0.9358,0.9108,0.8772,0.9079,5e-05,9
89,0.172923,0.9345,0.9097,0.8753,0.9065,5e-05,10
90,0.167524,0.9358,0.9117,0.8795,0.9090,5e-05,11
91,0.169446,0.9287,0.9011,0.8679,0.8993,5e-05,12
92,0.180785,0.9338,0.9072,0.8785,0.9065,5e-05,13
93,0.164399,0.9338,0.9104,0.8810,0.9084,2.5e-05,14
94,0.160810,0.9314,0.9034,0.8707,0.9018,2.5e-05,15
95,0.167024,0.9353,0.9062,0.8742,0.9052,2.5e-05,16
96,0.163799,0.9373,0.9118,0.8770,0.9087,2.5e-05,17
97,0.164232,0.9365,0.9039,0.8721,0.9041,2.5e-05,18
98,0.170427,0.9338,0.9029,0.8740,0.9036,2.5e-05,19
99,0.169058,0.9333,0.9032,0.8693,0.9019,2.5e-05,20
100,0.157728,0.9369,0.9097,0.8763,0.9076,2.5e-05,21
