epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
83,0.158734,0.9419,0.9190,0.8851,0.9153,0.000125,13
84,0.161283,0.9422,0.9232,0.8904,0.9186,0.000125,14
85,0.148347,0.9440,0.9174,0.8835,0.9150,0.000125,15
86,0.158245,0.9427,0.9218,0.8891,0.9179,0.000125,16
87,0.156656,0.9415,0.9226,0.8880,0.9174,0.000125,17
88,0.151236,0.9426,0.9249,0.8920,0.9198,0.000125,18
89,0.152242,0.9436,0.9246,0.8920,0.9201,0.000125,0
90,0.151618,0.9432,0.9236,0.8892,0.9187,0.000125,1
91,0.157175,0.9445,0.9236,0.8906,0.9195,0.000125,2
92,0.148754,0.9438,0.9247,0.8918,0.9201,0.000125,3
93,0.156165,0.9407,0.9228,0.8899,0.9178,0.000125,4
94,0.153560,0.9421,0.9214,0.8884,0.9173,0.000125,5
95,0.151338,0.9422,0.9243,0.8917,0.9194,0.000125,6
96,0.147565,0.9410,0.9269,0.8927,0.9202,0.000125,7
97,0.143500,0.9437,0.9273,0.8939,0.9216,0.000125,0
98,0.150235,0.9441,0.9247,0.8922,0.9204,0.000125,1
99,0.149111,0.9439,0.9251,0.8922,0.9204,0.000125,2
100,0.158147,0.9410,0.9229,0.8898,0.9179,0.000125,3
