epoch,train_loss,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,lr,early_stop_counter
83,0.147181,0.9422,0.9254,0.8930,0.9202,0.00025,0
84,0.148086,0.9413,0.9220,0.8916,0.9183,0.00025,1
85,0.145464,0.9409,0.9273,0.8952,0.9211,0.00025,2
86,0.146130,0.9377,0.9264,0.8942,0.9194,0.00025,3
87,0.144731,0.9342,0.9262,0.8937,0.9180,0.00025,4
88,0.147382,0.9425,0.9236,0.8923,0.9195,0.00025,5
89,0.149048,0.9383,0.9241,0.8904,0.9176,0.00025,6
90,0.149008,0.9422,0.9240,0.8912,0.9191,0.00025,7
91,0.143542,0.9408,0.9239,0.8921,0.9189,0.00025,8
92,0.142628,0.9388,0.9270,0.8948,0.9202,0.00025,9
93,0.153818,0.9417,0.9201,0.8884,0.9167,0.00025,10
94,0.142915,0.9414,0.9230,0.8922,0.9189,0.00025,11
95,0.136707,0.9429,0.9232,0.8902,0.9188,0.00025,12
96,0.142798,0.9422,0.9266,0.8936,0.9208,0.000125,13
97,0.150944,0.9420,0.9273,0.8946,0.9213,0.000125,0
98,0.138409,0.9408,0.9263,0.8940,0.9204,0.000125,1
99,0.135168,0.9437,0.9251,0.8935,0.9208,0.000125,2
100,0.132736,0.9438,0.9243,0.8930,0.9204,0.000125,3
